,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
37,Out of Sequence,0.459,0.944,1,-6.511,1,0.0414,0.000119,0.812,0.636,0.39,132.755,audio_features,2fpM6NQsIAyayu25P0puTd,spotify:track:2fpM6NQsIAyayu25P0puTd,https://api.spotify.com/v1/tracks/2fpM6NQsIAyayu25P0puTd,https://api.spotify.com/v1/audio-analysis/2fpM6NQsIAyayu25P0puTd,473093,4
38,Fruit Bleed Juice,0.361,0.634,9,-6.158,1,0.0393,0.309,0.0115,0.23,0.486,118.618,audio_features,3NNCMSRtqrrVbEvYhGu7NJ,spotify:track:3NNCMSRtqrrVbEvYhGu7NJ,https://api.spotify.com/v1/tracks/3NNCMSRtqrrVbEvYhGu7NJ,https://api.spotify.com/v1/audio-analysis/3NNCMSRtqrrVbEvYhGu7NJ,72852,4
39,My Red Hot Car,0.752,0.695,2,-11.403,1,0.0602,0.00126,0.904,0.108,0.662,142.008,audio_features,2wjbR0QM2uRIz8QacUE494,spotify:track:2wjbR0QM2uRIz8QacUE494,https://api.spotify.com/v1/tracks/2wjbR0QM2uRIz8QacUE494,https://api.spotify.com/v1/audio-analysis/2wjbR0QM2uRIz8QacUE494,282067,4
40,Decay,0.613,0.485,8,-10.87,1,0.0887,0.679,0.586,0.16,0.165,170.182,audio_features,7jFfHPcjpJ5Y54QK4qBrpd,spotify:track:7jFfHPcjpJ5Y54QK4qBrpd,https://api.spotify.com/v1/tracks/7jFfHPcjpJ5Y54QK4qBrpd,https://api.spotify.com/v1/audio-analysis/7jFfHPcjpJ5Y54QK4qBrpd,128000,4
41,The Weight - Remastered,0.63,0.551,9,-9.28,1,0.0549,0.373,5.75e-05,0.103,0.518,143.868,audio_features,0P7DoyGrr4Wp9w5TotEtUC,spotify:track:0P7DoyGrr4Wp9w5TotEtUC,https://api.spotify.com/v1/tracks/0P7DoyGrr4Wp9w5TotEtUC,https://api.spotify.com/v1/audio-analysis/0P7DoyGrr4Wp9w5TotEtUC,274493,4
42,Blue Eyes,0.343,0.436,1,-4.84,1,0.0339,0.0305,0.0208,0.112,0.167,84.388,audio_features,2Ej7y2sPSunNGZoj3HZW2C,spotify:track:2Ej7y2sPSunNGZoj3HZW2C,https://api.spotify.com/v1/tracks/2Ej7y2sPSunNGZoj3HZW2C,https://api.spotify.com/v1/audio-analysis/2Ej7y2sPSunNGZoj3HZW2C,93192,4
43,Lost But Never Alone,0.448,0.824,3,-7.678,1,0.0625,0.241,0.257,0.385,0.354,89.966,audio_features,6RBV20Uk0tYnd3XwFFxWY9,spotify:track:6RBV20Uk0tYnd3XwFFxWY9,https://api.spotify.com/v1/tracks/6RBV20Uk0tYnd3XwFFxWY9,https://api.spotify.com/v1/audio-analysis/6RBV20Uk0tYnd3XwFFxWY9,258615,4
44,Reality Surf,0.741,0.406,0,-8.143,1,0.0682,0.0271,0.00784,0.105,0.668,80.022,audio_features,7bN1xfvn1fB0mhKcdCK4un,spotify:track:7bN1xfvn1fB0mhKcdCK4un,https://api.spotify.com/v1/tracks/7bN1xfvn1fB0mhKcdCK4un,https://api.spotify.com/v1/audio-analysis/7bN1xfvn1fB0mhKcdCK4un,123587,4
45,Starz,0.446,0.343,0,-12.929,1,0.036,0.643,0.0605,0.105,0.0952,114.989,audio_features,6WjAYBkzXP2NusejXjtkYQ,spotify:track:6WjAYBkzXP2NusejXjtkYQ,https://api.spotify.com/v1/tracks/6WjAYBkzXP2NusejXjtkYQ,https://api.spotify.com/v1/audio-analysis/6WjAYBkzXP2NusejXjtkYQ,260360,4
46,Legendary Member,0.699,0.841,9,-4.891,1,0.166,0.598,0.0083,0.0858,0.784,170.946,audio_features,5u1dcvaMTFU9Vto7L1TrU0,spotify:track:5u1dcvaMTFU9Vto7L1TrU0,https://api.spotify.com/v1/tracks/5u1dcvaMTFU9Vto7L1TrU0,https://api.spotify.com/v1/audio-analysis/5u1dcvaMTFU9Vto7L1TrU0,155787,4
